,perturbation_name,perturbation_label,feature_space,UMAP1,UMAP2
NUP107,NUP107,86,decoded KeepingSCORE gene-space delta vs control,10.277212,-0.91301864
MRPL36,MRPL36,87,decoded KeepingSCORE gene-space delta vs control,11.772711,-2.2171066
CYS1,CYS1,88,decoded KeepingSCORE gene-space delta vs control,7.459596,0.14377788
OGFOD1,OGFOD1,89,decoded KeepingSCORE gene-space delta vs control,6.946606,-0.43965343
MRPL19,MRPL19,90,decoded KeepingSCORE gene-space delta vs control,6.79042,-0.8834368
TTI1,TTI1,91,decoded KeepingSCORE gene-space delta vs control,14.056021,-3.5182426
UBA2,UBA2,92,decoded KeepingSCORE gene-space delta vs control,14.350981,-0.5875393
RABGGTA,RABGGTA,93,decoded KeepingSCORE gene-space delta vs control,12.823813,-2.43112
SRP68,SRP68,94,decoded KeepingSCORE gene-space delta vs control,9.312175,-2.7846155
HNRNPL,HNRNPL,95,decoded KeepingSCORE gene-space delta vs control,16.07116,-2.258147
EXOSC3,EXOSC3,96,decoded KeepingSCORE gene-space delta vs control,16.067833,-0.6509624
